Master,Protein FDR Confidence: Combined,Accession,Gene Symbol,Description,# Peptides,# PSMs,"Abundance Ratio: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio: (PLL, Normal) / (BLL, Normal)","Abundance Ratio: (PLL, Diseased) / (PLL, Normal)","Abundance Ratio (log2): (BLL, Diseased) / (BLL, Normal)","Abundance Ratio (log2): (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio (log2): (PLL, Normal) / (BLL, Normal)","Abundance Ratio (log2): (PLL, Diseased) / (PLL, Normal)","Abundance Ratio P-Value: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio P-Value: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio P-Value: (PLL, Normal) / (BLL, Normal)","Abundance Ratio P-Value: (PLL, Diseased) / (PLL, Normal)","Abundances (Grouped): BLL, Diseased","Abundances (Grouped): BLL, Normal","Abundances (Grouped): PLL, Diseased","Abundances (Grouped): PLL, Normal","Abundances (Grouped) Count: BLL, Diseased","Abundances (Grouped) Count: BLL, Normal","Abundances (Grouped) Count: PLL, Diseased","Abundances (Grouped) Count: PLL, Normal","Abundances (Normalized): F1: Sample, BLL, Diseased","Abundances (Normalized): F3: Sample, BLL, Diseased","Abundances (Normalized): F5: Sample, BLL, Diseased","Abundances (Normalized): F7: Sample, BLL, Diseased","Abundances (Normalized): F9: Sample, BLL, Diseased","Abundances (Normalized): F2: Sample, BLL, Normal","Abundances (Normalized): F4: Sample, BLL, Normal","Abundances (Normalized): F6: Sample, BLL, Normal","Abundances (Normalized): F8: Sample, BLL, Normal","Abundances (Normalized): F10: Sample, BLL, Normal","Abundances (Normalized): F11: Sample, PLL, Diseased","Abundances (Normalized): F13: Sample, PLL, Diseased","Abundances (Normalized): F15: Sample, PLL, Diseased","Abundances (Normalized): F17: Sample, PLL, Diseased","Abundances (Normalized): F19: Sample, PLL, Diseased","Abundances (Normalized): F12: Sample, PLL, Normal","Abundances (Normalized): F14: Sample, PLL, Normal","Abundances (Normalized): F16: Sample, PLL, Normal","Abundances (Normalized): F18: Sample, PLL, Normal","Abundances (Normalized): F20: Sample, PLL, Normal","Abundance: F1: Sample, BLL, Diseased","Abundance: F3: Sample, BLL, Diseased","Abundance: F5: Sample, BLL, Diseased","Abundance: F7: Sample, BLL, Diseased","Abundance: F9: Sample, BLL, Diseased","Abundance: F2: Sample, BLL, Normal","Abundance: F4: Sample, BLL, Normal","Abundance: F6: Sample, BLL, Normal","Abundance: F8: Sample, BLL, Normal","Abundance: F10: Sample, BLL, Normal","Abundance: F11: Sample, PLL, Diseased","Abundance: F13: Sample, PLL, Diseased","Abundance: F15: Sample, PLL, Diseased","Abundance: F17: Sample, PLL, Diseased","Abundance: F19: Sample, PLL, Diseased","Abundance: F12: Sample, PLL, Normal","Abundance: F14: Sample, PLL, Normal","Abundance: F16: Sample, PLL, Normal","Abundance: F18: Sample, PLL, Normal","Abundance: F20: Sample, PLL, Normal",Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Unique Peptides,# AAs,MW [kDa],calc. pI,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Pfam IDs,Entrez Gene ID,Gene ID,Ensembl Gene ID,Reactome Pathways,WikiPathways,# Protein Pathway Groups,# Razor Peptides,"Abundances (Grouped) CV [%]: BLL, Diseased","Abundances (Grouped) CV [%]: BLL, Normal","Abundances (Grouped) CV [%]: PLL, Diseased","Abundances (Grouped) CV [%]: PLL, Normal","Found in Sample: F1: Sample, BLL, Diseased","Found in Sample: F3: Sample, BLL, Diseased","Found in Sample: F5: Sample, BLL, Diseased","Found in Sample: F7: Sample, BLL, Diseased","Found in Sample: F9: Sample, BLL, Diseased","Found in Sample: F2: Sample, BLL, Normal","Found in Sample: F4: Sample, BLL, Normal","Found in Sample: F6: Sample, BLL, Normal","Found in Sample: F8: Sample, BLL, Normal","Found in Sample: F10: Sample, BLL, Normal","Found in Sample: F11: Sample, PLL, Diseased","Found in Sample: F13: Sample, PLL, Diseased","Found in Sample: F15: Sample, PLL, Diseased","Found in Sample: F17: Sample, PLL, Diseased","Found in Sample: F19: Sample, PLL, Diseased","Found in Sample: F12: Sample, PLL, Normal","Found in Sample: F14: Sample, PLL, Normal","Found in Sample: F16: Sample, PLL, Normal","Found in Sample: F18: Sample, PLL, Normal","Found in Sample: F20: Sample, PLL, Normal",# Protein Groups,Modifications,Checked,"Abundance Ratio Variability [%]: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio Variability [%]: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio Variability [%]: (PLL, Normal) / (BLL, Normal)","Abundance Ratio Variability [%]: (PLL, Diseased) / (PLL, Normal)",Score Sequest HT: Sequest HT,Molecular Function,Phospho (S; T; Y) Count,Phospho (S; T; Y) Positions
Master Protein,High,P10606,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2",5,29,1.274,1.034,0.828,0.918,0.35,0.05,-0.27,-0.12,8.67E-01,5.53E-01,7.09E-01,1.00E+00,1.24E+07,6.36E+06,1.43E+07,3.96E+06,5,5,5,5,1.74E+06,2.59E+07,1.02E+06,1.24E+07,2.76E+07,6.36E+06,3.08E+06,1.18E+07,5.92E+06,1.35E+07,1.85E+06,5.82E+06,1.43E+07,1.44E+07,1.66E+07,1.46E+07,4.43E+06,1.91E+06,3.96E+06,2.86E+06,6.91E+03,9.83E+04,1.00E+04,1.24E+07,1.43E+06,2.26E+04,5.47E+04,1.09E+05,1.67E+05,1.44E+05,1.11E+04,2.60E+05,1.16E+05,1.95E+06,4.13E+05,2.84E+04,1.24E+06,1.36E+04,9.28E+04,3.05E+04,0,FALSE,13.124,31,5,129,13.7,8.81,5,other metabolic processes;transport;other biological processes,other membranes;mitochondrion,Pf01215,1329,hsa:1329; P10606; Q53YB7; Q96J18; Q99610,ENSG00000135940; ENSG00000291596,Mitochondrial protein degradation; Respiratory electron transport; TP53 Regulates Metabolic Genes; Cytoprotection by HMOX1,Electron transport chain: OXPHOS system in mitochondria; Nonalcoholic fatty liver disease; Mitochondrial complex IV assembly; 5q35 copy number variation,8,0,92.68,53.68,60.38,92.55,Peak Found,High,Peak Found,High,High,Peak Found,Peak Found,Peak Found,High,High,Peak Found,High,High,High,High,Peak Found,High,Peak Found,Peak Found,Peak Found,1,,FALSE,111.66,115.84,112.01,101.14,63.77,transporter activity;other molecular function,0,
Master Protein,High,P20618,PSMB1,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,3,20,1.274,0.549,2.17,0.315,0.35,-0.87,1.12,-1.66,7.76E-01,8.02E-01,3.99E-01,3.83E-01,1.53E+06,2.47E+05,5.78E+05,1.71E+06,5,5,5,5,8.24E+05,2.10E+06,3.08E+05,1.53E+06,1.22E+07,2.47E+05,1.30E+05,8.35E+05,9.84E+04,1.05E+07,5.08E+05,5.15E+05,5.78E+05,2.15E+06,8.03E+05,6.97E+05,3.08E+06,7.69E+05,3.48E+06,1.71E+06,3.27E+03,7.97E+03,3.01E+03,1.53E+06,6.27E+05,8.77E+02,2.31E+03,7.71E+03,2.77E+03,1.12E+05,3.04E+03,2.30E+04,4.70E+03,2.89E+05,2.00E+04,1.36E+03,8.66E+05,5.45E+03,8.14E+04,1.82E+04,0,FALSE,13.665,18,3,241,26.5,8.13,3,protein metabolism;other metabolic processes,non-structural extracellular;cytosol;nucleus;other cell component,Pf00227,5689,B5BU76; hsa:5689; P20618; Q9BWA8,ENSG00000008018,Neutrophil degranulation; FCERI mediated NF-kB activation; Downstream TCR signaling; Antigen processing: Ubiquitination & Proteasome degradation; Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; ER-Phagosome pathway; Cross-presentation of soluble exogenous antigens (endosomes); SCF-beta-TrCP mediated degradation of Emi1; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Vpu mediated degradation of CD4; Vif-mediated degradation of APOBEC3G; Degradation of beta-catenin by the destruction complex; Regulation of activated PAK-2p34 by proteasome mediated degradation; Separation of Sister Chromatids; Autodegradation of the E3 ubiquitin ligase COP1; Regulation of ornithine decarboxylase (ODC); ABC-family proteins mediated transport; AUF1 (hnRNP D0) binds and destabilizes mRNA; Asymmetric localization of PCP proteins; Degradation of AXIN; Degradation of DVL; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Hedgehog 'on' state; Regulation of RAS by GAPs; NIK-->noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis; MAPK6/MAPK4 signaling; UCH proteinases; Ub-specific processing proteases; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; The role of GTSE1 in G2/M progression after G2 checkpoint; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Regulation of RUNX2 expression and activity; Regulation of PTEN stability and activity; Neddylation; Regulation of expression of SLITs and ROBOs; Interleukin-1 signaling; KEAP1-NFE2L2 pathway; Somitogenesis; Autodegradation of Cdh1 by Cdh1:APC/C; SCF(Skp2)-mediated degradation of p27/p21; Assembly of the pre-replicative complex; Regulation of RUNX3 expression and activity; Negative regulation of NOTCH4 signaling; GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,Proteasome degradation; Alzheimer's disease and miRNA effects; Alzheimer's disease,63,0,146.29,193.1,77.05,66.16,Peak Found,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,High,Peak Found,High,Peak Found,1,,FALSE,126.57,106.57,120.42,111.52,57.71,,0,
Master Protein,High,Q96LW7,CARD19,Caspase recruitment domain-containing protein 19 OS=Homo sapiens OX=9606 GN=CARD19 PE=1 SV=1,2,2,1.271,0.986,0.387,2.811,0.35,-0.02,-1.37,1.49,7.70E-01,6.78E-01,3.59E-01,3.30E-01,1.60E+05,1.26E+05,1.37E+05,4.87E+04,3,1,2,1,,,7.50E+04,2.57E+05,1.60E+05,,,,,1.26E+05,,4.07E+05,4.60E+04,,,,,,4.87E+04,,,,7.33E+02,2.57E+05,8.25E+03,,,,,1.34E+03,,1.82E+04,3.74E+02,,,,,,1.14E+03,,0,FALSE,5.544,10,2,228,25.6,9.2,2,other biological processes,other membranes;cytosol;mitochondrion;ER/Golgi;nucleus,,84270,hsa:84270; Q5BJH8; Q96LW7; Q9BSY2,ENSG00000165233,,,0,0,55.49,,112.72,,n/a,n/a,Peak Found,Peak Found,Peak Found,n/a,n/a,n/a,n/a,Peak Found,n/a,High,Peak Found,High,n/a,n/a,n/a,n/a,Peak Found,n/a,1,,FALSE,78.78,106.07,0,195.67,5.31,other molecular function,0,
Master Protein,High,Q9BXP5,SRRT,Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,15,26,1.267,0.247,3.724,0.072,0.34,-2.02,1.9,-3.8,7.72E-01,1.68E-01,2.02E-01,3.82E-02,1.01E+06,2.17E+05,4.68E+05,1.24E+06,5,4,5,2,1.88E+05,1.01E+06,3.76E+05,5.97E+06,7.76E+06,,2.33E+05,2.02E+05,1.24E+05,1.20E+06,5.55E+04,5.83E+04,6.35E+05,2.37E+06,4.68E+05,,,2.40E+06,,6.47E+05,7.48E+02,3.84E+03,3.67E+03,5.97E+06,4.00E+05,,4.15E+03,1.86E+03,3.49E+03,1.27E+04,3.32E+02,2.60E+03,5.16E+03,3.19E+05,1.16E+04,,,1.70E+04,,6.89E+03,0,FALSE,78.44,21,15,876,100.6,5.96,15,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,"Pf04959, Pf12066",51593,A4D2E5; A4D2E6; A6NK22; B4DJL4; B4DZA6; hsa:51593; O95808; Q32MI4; Q6NT74; Q8TDQ5; Q9BWP6; Q9BXP4; Q9BXP5; Q9Y4S4,ENSG00000087087,mRNA Splicing - Major Pathway; RNA polymerase II transcribes snRNA genes,,2,0,115.77,115.54,133.44,81.31,Peak Found,Peak Found,Peak Found,High,High,n/a,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,n/a,n/a,High,n/a,Peak Found,1,,FALSE,78.05,100.03,50.47,48.69,85,nucleic acid binding activity;other molecular function,0,
Master Protein,High,Q9NZI8,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2,3,4,1.267,0.21,0.596,0.191,0.34,-2.25,-0.75,-2.39,6.82E-01,1.48E-01,5.75E-01,2.49E-01,4.62E+05,2.06E+05,7.71E+03,5.42E+04,5,3,1,2,3.64E+05,4.62E+05,7.07E+04,1.13E+06,2.49E+06,4.56E+05,,2.06E+05,7.28E+04,,,,,,7.71E+03,,,,7.29E+04,4.03E+04,1.45E+03,1.76E+03,6.90E+02,1.13E+06,1.28E+05,1.62E+03,,1.90E+03,2.05E+03,,,,,,1.92E+02,,,,1.71E+03,4.29E+02,0,FALSE,15.788,7,3,577,63.4,9.2,3,cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes,cytosol;nucleus;other cell component,"Pf00013, Pf00076",10642,C9JT33; hsa:10642; Q9NZI8,ENSG00000159217,MAPK6/MAPK4 signaling; Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,Brain-derived neurotrophic factor (BDNF) signaling pathway; eIF5A regulation in response to inhibition of the nuclear export system,4,0,107.21,79.43,,40.77,Peak Found,Peak Found,Peak Found,High,High,Peak Found,n/a,Peak Found,Peak Found,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,Peak Found,Peak Found,1,,FALSE,103.25,28.42,80.6,0,13.1,nucleic acid binding activity;other molecular function,0,
Master Protein,High,Q92556,ELMO1,Engulfment and cell motility protein 1 OS=Homo sapiens OX=9606 GN=ELMO1 PE=1 SV=2,6,8,1.266,0.447,0.892,2.264,0.34,-1.16,-0.17,1.18,7.74E-01,5.71E-01,7.76E-01,3.62E-01,1.01E+06,6.16E+04,7.96E+05,4.36E+05,4,2,5,1,3.22E+05,,1.55E+05,3.17E+06,1.38E+07,,1.21E+04,,3.13E+05,,1.16E+05,5.05E+05,7.96E+05,1.41E+06,1.57E+06,,,,4.36E+05,,1.28E+03,,1.52E+03,3.17E+06,7.10E+05,,2.15E+02,,8.82E+03,,6.93E+02,2.26E+04,6.47E+03,1.90E+05,3.89E+04,,,,1.02E+04,,0,FALSE,14.39,10,6,727,83.8,6.28,6,cell organization and biogenesis;transport;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;other cell component,"Pf04727, Pf11841, Pf16457",9844,A4D1X6; hsa:9844; Q29R79; Q6ZTJ0; Q92556; Q96PB0; Q9H0I1,ENSG00000155849,"Regulation of actin dynamics for phagocytic cup formation; FCGR3A-mediated phagocytosis; VEGFA-VEGFR2 Pathway; PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases; Nef and signal transduction",Chemokine signaling pathway; CCL18 signaling pathway,7,0,147.6,130.88,69.33,,Peak Found,n/a,Peak Found,High,Peak Found,n/a,Peak Found,n/a,Peak Found,n/a,Peak Found,Peak Found,Peak Found,High,High,n/a,n/a,n/a,Peak Found,n/a,1,,FALSE,4.66,109.57,0,66.14,17.46,other molecular function,0,
Master Protein,High,H0YFD6,HADHA,enoyl-CoA hydratase OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2,23,142,1.266,0.903,0.829,1.489,0.34,-0.15,-0.27,0.57,8.73E-01,6.93E-01,7.11E-01,6.68E-01,1.48E+07,5.08E+06,2.00E+07,9.25E+06,5,5,5,5,1.34E+07,1.81E+07,1.48E+07,2.28E+07,1.11E+07,5.86E+06,4.38E+06,8.31E+06,3.70E+06,5.08E+06,2.18E+07,1.36E+07,1.62E+07,2.00E+07,2.15E+07,9.25E+06,3.14E+06,1.21E+07,8.02E+06,1.51E+07,5.34E+04,6.87E+04,1.45E+05,2.28E+07,5.70E+05,2.08E+04,7.79E+04,7.66E+04,1.04E+05,5.40E+04,1.30E+05,6.09E+05,1.31E+05,2.69E+06,5.33E+05,1.80E+04,8.82E+05,8.59E+04,1.88E+05,1.61E+05,0,FALSE,131.433,39,23,792,86.3,9.1,23,other metabolic processes,mitochondrion,"Pf00378, Pf00725, Pf02737",,H0YFD6,ENSG00000084754,,Valproic acid pathway,1,0,28.45,32.55,19.16,47.23,High,Peak Found,High,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,Peak Found,High,Peak Found,High,Peak Found,1,,FALSE,126.43,111.41,112.63,120.47,409.94,other molecular function,0,
Master Protein,High,Q93084,ATP2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=3,25,124,1.265,0.529,1.993,1.285,0.34,-0.92,0.99,0.36,8.74E-01,6.91E-01,4.54E-01,7.65E-01,1.82E+07,1.68E+07,1.78E+07,2.86E+07,5,5,5,5,8.63E+06,4.06E+07,6.38E+06,2.09E+07,1.82E+07,8.27E+06,9.96E+07,1.68E+07,6.25E+07,4.42E+06,1.78E+07,1.96E+07,9.82E+06,1.87E+07,1.24E+07,8.04E+07,3.05E+06,4.39E+07,4.00E+06,2.86E+07,3.43E+04,1.54E+05,6.24E+04,2.09E+07,9.38E+05,2.94E+04,1.77E+06,1.55E+05,1.76E+06,4.70E+04,1.07E+05,8.77E+05,7.98E+04,2.52E+06,3.09E+05,1.57E+05,8.58E+05,3.11E+05,9.35E+04,3.05E+05,0,FALSE,117.289,28,21,999,109.2,5.52,25,stress response;transport;signal transduction;other biological processes,other membranes;cytosol;ER/Golgi;nucleus,"Pf00122, Pf00689, Pf00690, Pf00702, Pf13246",489,A8MZG0; D3DTJ8; hsa:489; O60900; O60901; O75501; O75502; Q16115; Q6JHX1; Q8TEX5; Q8TEX6; Q93084,ENSG00000074370,Ion homeostasis; Ion transport by P-type ATPases; Pre-NOTCH Processing in Golgi; Reduction of cytosolic Ca++ levels,Alzheimer's disease and miRNA effects; Myometrial relaxation and contraction pathways; Alzheimer's disease; Calcium regulation in cardiac cells,8,5,71.66,108.02,27.46,100.28,High,High,High,High,High,Peak Found,High,High,High,Peak Found,High,High,High,High,High,High,High,High,Peak Found,High,1,Acetyl [N-Term],FALSE,113.95,95.76,133.09,132.66,341.61,transporter activity;enzyme regulator activity;other molecular function,0,
Master Protein,High,Q7Z7K0,CMC1,COX assembly mitochondrial protein homolog OS=Homo sapiens OX=9606 GN=CMC1 PE=1 SV=1,1,4,1.264,0.448,0.401,0.98,0.34,-1.16,-1.32,-0.03,7.17E-01,6.06E-01,3.68E-01,9.07E-01,2.52E+05,1.99E+05,8.90E+04,7.99E+04,4,2,5,2,1.70E+05,,1.77E+04,5.00E+05,3.75E+05,2.74E+05,,,,1.45E+05,8.90E+04,9.48E+04,3.89E+04,9.75E+05,6.47E+04,,1.20E+05,5.34E+04,,,6.74E+02,,1.73E+02,5.00E+05,1.93E+04,9.76E+02,,,,1.54E+03,5.32E+02,4.24E+03,3.16E+02,1.31E+05,1.61E+03,,3.36E+04,3.79E+02,,,0.002,FALSE,3.054,8,1,106,12.5,8.63,1,,mitochondrion,Pf08583,152100,hsa:152100; Q68DJ7; Q7Z7K0,ENSG00000187118,,Mitochondrial complex IV assembly,1,0,80.65,43.69,160.2,54.05,Peak Found,n/a,Peak Found,High,Peak Found,Peak Found,n/a,n/a,n/a,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,n/a,High,Peak Found,n/a,n/a,1,,FALSE,104.86,135.44,44.56,63.71,10.31,other molecular function,0,
Master Protein,High,Q9UHD8,SEPTIN9,Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,12,31,1.264,0.863,5.999,0.705,0.34,-0.21,2.58,-0.5,8.74E-01,7.44E-01,9.53E-02,8.85E-01,4.93E+06,2.72E+05,2.55E+06,6.17E+05,5,3,5,5,1.57E+07,8.72E+05,4.01E+06,4.93E+06,5.63E+06,,2.72E+05,,6.10E+04,2.82E+05,2.26E+06,2.55E+06,1.74E+05,1.30E+07,4.60E+06,6.17E+05,1.17E+05,1.76E+06,7.03E+04,1.67E+06,6.23E+04,3.31E+03,3.91E+04,4.93E+06,2.91E+05,,4.83E+03,,1.72E+03,3.00E+03,1.35E+04,1.14E+05,1.41E+03,1.75E+06,1.14E+05,1.20E+03,3.30E+04,1.25E+04,1.65E+03,1.78E+04,0,FALSE,47.291,30,12,586,65.4,8.97,12,cell cycle OR cell proliferation;other biological processes,cytoskeleton;other cell component,Pf00735,10801,A8K2V3; B3KPM0; B4DTL9; B4E0N2; B4E274; B7Z654; hsa:10801; Q96QF3; Q96QF4; Q96QF5; Q9HA04; Q9UG40; Q9UHD8; Q9Y5W4,ENSG00000184640,,,0,0,89.82,60.9,110.54,96.98,High,Peak Found,High,High,High,n/a,Peak Found,n/a,Peak Found,Peak Found,Peak Found,High,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,,FALSE,18.51,94.18,120.34,111.83,81.83,other molecular function,0,
Master Protein,High,P49792,RANBP2,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,24,38,1.261,0.649,1.663,0.463,0.33,-0.62,0.73,-1.11,8.00E-01,9.55E-01,6.33E-01,5.92E-01,2.02E+06,8.51E+05,2.09E+06,8.56E+05,5,5,5,4,1.42E+05,2.97E+06,8.54E+05,4.11E+06,2.02E+06,8.51E+05,5.25E+05,1.31E+06,3.38E+05,1.54E+06,2.72E+06,1.48E+06,1.00E+06,4.18E+06,2.09E+06,,2.11E+05,1.69E+06,4.33E+05,2.79E+06,5.64E+02,1.13E+04,8.35E+03,4.11E+06,1.04E+05,3.03E+03,9.33E+03,1.21E+04,9.51E+03,1.64E+04,1.63E+04,6.62E+04,8.16E+03,5.63E+05,5.18E+04,,5.93E+04,1.20E+04,1.01E+04,2.97E+04,0,FALSE,125.721,12,24,3224,358,6.2,24,protein metabolism;other metabolic processes;transport;other biological processes,other membranes;cytosol;nucleus;other cell component,"Pf00160, Pf00638, Pf00641, Pf12185",5903,hsa:5903; P49792; Q13074; Q15280; Q53TE2; Q59FH7,ENSG00000153201,SARS-CoV-2 activates/modulates innate and adaptive immune responses; tRNA processing in the nucleus; Viral Messenger RNA Synthesis; Transcriptional regulation by small RNAs; HCMV Late Events; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; HCMV Early Events; EML4 and NUDC in mitotic spindle formation; ISG15 antiviral mechanism; Transport of the SLBP independent Mature mRNA; Transport of the SLBP Dependant Mature mRNA; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of Mature mRNA derived from an Intron-Containing Transcript; Rev-mediated nuclear export of HIV RNA; Transport of Ribonucleoproteins into the Host Nucleus; NS1 Mediated Effects on Host Pathways; NEP/NS2 Interacts with the Cellular Export Machinery; Regulation of Glucokinase by Glucokinase Regulatory Protein; Nuclear import of Rev protein; Vpr-mediated nuclear import of PICs; snRNP Assembly; SUMOylation of DNA damage response and repair proteins; SUMOylation of ubiquitinylation proteins; Nuclear Pore Complex (NPC) Disassembly; Regulation of HSF1-mediated heat shock response; SUMOylation of SUMOylation proteins; SUMOylation of chromatin organization proteins; SUMOylation of RNA binding proteins; SUMOylation of DNA replication proteins; Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC); Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Signaling by ALK fusions and activated point mutants,,35,0,78.92,55.81,53.82,93.49,Peak Found,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,High,Peak Found,n/a,Peak Found,Peak Found,Peak Found,Peak Found,1,,FALSE,105.8,91.56,51.43,102.03,121.94,nucleic acid binding activity;other molecular function,0,
Master Protein,High,A0A0G2JN29,NOMO1,Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=1,7,22,1.26,0.495,1.288,0.499,0.33,-1.01,0.36,-1,8.14E-01,6.67E-01,9.34E-01,7.10E-01,1.56E+06,6.90E+05,9.74E+05,4.13E+05,5,5,5,5,1.56E+06,2.32E+06,3.61E+05,1.84E+06,1.38E+06,6.90E+05,5.93E+05,2.44E+06,5.55E+05,9.22E+05,1.21E+06,5.83E+06,9.74E+05,6.88E+05,5.68E+05,1.21E+07,1.35E+05,3.72E+06,3.74E+05,4.13E+05,6.20E+03,8.82E+03,3.52E+03,1.84E+06,7.12E+04,2.45E+03,1.05E+04,2.26E+04,1.56E+04,9.80E+03,7.22E+03,2.60E+05,7.91E+03,9.27E+04,1.41E+04,2.36E+04,3.80E+04,2.64E+04,8.76E+03,4.40E+03,0,FALSE,21.868,7,1,1267,139.5,5.8,7,,,"Pf13620, Pf17802",,A0A0G2JN29,ENSG00000274779,,,0,6,48.63,76.6,120.63,152.55,n/a,n/a,n/a,High,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,109.74,137.73,100.85,134.47,46.61,other molecular function,0,
Master Protein,High,Q5T4U5,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1",10,47,1.26,1.394,1.324,2.447,0.33,0.48,0.4,1.29,8.78E-01,3.01E-01,8.21E-01,3.84E-01,2.89E+06,2.97E+06,9.47E+06,1.98E+06,5,4,5,5,2.45E+06,3.76E+06,2.52E+05,1.22E+07,2.89E+06,5.78E+06,,9.88E+06,3.12E+05,1.53E+06,2.17E+06,9.47E+06,7.87E+06,1.04E+07,9.54E+06,1.70E+06,1.09E+06,1.98E+06,2.02E+06,3.52E+06,9.74E+03,1.43E+04,2.47E+03,1.22E+07,1.49E+05,2.06E+04,,9.11E+04,8.80E+03,1.62E+04,1.30E+04,4.23E+05,6.40E+04,1.40E+06,2.37E+05,3.31E+03,3.06E+05,1.40E+04,4.72E+04,3.75E+04,0,FALSE,39.518,29,2,454,50.2,7.8,10,other metabolic processes,mitochondrion,"Pf00441, Pf02770, Pf02771",34,Q5T4U5,ENSG00000117054,,Fatty acid beta-oxidation; PPAR-alpha pathway; Nuclear receptors meta-pathway; Mitochondrial long chain fatty acid beta-oxidation; Amino acid metabolism; PPAR signaling pathway; Mitochondrial fatty acid oxidation disorders; Female steroid hormones in cardiomyocyte energy metabolism; Sudden infant death syndrome (SIDS) susceptibility pathways,9,7,106.67,99.5,42.18,43.53,Peak Found,n/a,n/a,High,Peak Found,n/a,n/a,n/a,Peak Found,Peak Found,Peak Found,High,Peak Found,High,High,n/a,Peak Found,Peak Found,n/a,Peak Found,1,,FALSE,119.58,82.72,119.57,86.53,144.42,other molecular function,0,
